discord_id,customer_id,invite_url
365466482202771457,15766023,
364123939284451329,20123646,
361462736074309643,51458859,
355393759007211531,16653637,
353286623926026250,15744927,
352830685569875971,18256604,
348110766190231552,21504844,
348083050250240000,staff,
345601268057767937,17408784,
343742938343276546,52000955,
343008630250930177,20445265,
340845200777674755,23158775,
340569975448403985,13258040,
339067599524724737,14013970,
334745337396723732,21271482,
328555437421232129,20759619,
327807088078356491,16416899,
326527609250906113,20299871,
325268320746078208,12905958,
321926512729128971,20049197,
321714206355226625,10625108,
321689197897318400,21213510,
319869298363334657,11194801,
319551097507151873,18365074,
319471517341843456,13553975,
314133991068270592,3747620,
313575860542111746,18358519,
311671473473323009,10662343,
309777853439016960,18538491,
309378278395871242,18548152,
307968555411046402,15180790,
307957885084762112,16591690,
304913528211636224,20563934,
303173462250487808,12364698,
302444271812870145,20815178,
299919679798116353,14988108,
296768798692999168,15193527,
296382503579811841,staff,
295497935683059722,22214002,
293691955953664000,17954813,
293402362406764545,19994633,
291569127749844993,52949062,
291360235849777152,14687002,
290464852072464384,20823155,
289427182583939072,14655117,
286930295545135105,11620701,
281550581754232833,20430001,
280732873043214337,11253039,
279975149250543616,13386951,
277469498569916417,13898246,
275799491288760320,20379950,
275355817782542337,21142054,
272735594558521344,staff,
270246331254046720,13975516,
270230195980468227,22661083,
269605113507741698,22884519,
267298064404971520,17021701,
266556090462765063,19662880,
254935248226222082,52299415,
253201913565151232,21056520,
249897964204457985,16729309,
249222909808214026,15979835,
249162528620412929,10270059,
248825897266708480,18256998,
246922969723568128,17884604,
242351746427387904,21763618,
241923336408530945,18918330,
241007839739379712,14411599,
240619159803789312,22696630,
238658581937782784,17028525,
237161973282766848,14220621,
236855796753760258,18469232,
233937412957536256,18141198,
231056884881162240,17658040,
228225050757693441,51922419,
222989156408754187,staff,
222718298003865602,21439842,
222383988646477824,20807233,
218332734701961216,8170225,
216866325497118720,13701451,
214441938185748480,13386548,
210737140219379713,staff,
209136075271176193,54163828,
201449557869985793,staff,
201001382428409856,12008114,
198115892419231744,21080572,
195555605979594753,22668658,
195251128743624704,22351685,
194450030663303168,12370577,
189054550148120576,20218231,
187952006823018496,16559438,
186066670647902218,13393743,
185773791950012416,22435844,
178503810832924672,14679339,
166587330646376449,21345637,
159461117079322624,11565823,
158926136598855681,21388090,
158872363583275009,22546643,
158718506227990528,15195686,
153111986010456064,19346799,
149652855714742274,17860635,
148833575343620096,staff,
133272970369040384,14492910,
126035252752678912,14452702,
1021066958386507836,16994862,juVuZBt62N
431123096683020299,22680331,PWF3fSRA9v
766454685204611134,14799339,wrzwmPKuKS
200724228159438848,14979271,2G6VjTXtxp
1207594772601110528,53274441,2K3z7jR4Tc
316600292948967425,17298748,3xnSrh2T5Z
468347535396831253,staff,49TxbgZXwS
742421271098294322,17046964,2wauuKfEvs
211248919391240192,50414648,4yTHnjkURx
251854812818309120,13138515,3V4KtY446r
756653638629195936,11704322,3UvHuHU62J
250269801094578176,17683896,EW7RrFBxEX
245340701624238081,19750849,4DmURQkH3P
450475981887504394,21501915,3YfZd2HM63
455776938699784192,13113874,7aPvDMDg7V
1047554336185655300,13531786,J9vVqeCeuz
435756079557902336,13143035,FMRTqesKyD
1069543939645898856,20895658,FpMpW7TzU5
602750352873357316,15797857,DGXhyf9SrF
1376490361496666112,16516988,gUqRGrFhUT
194053808635117568,18471074,s6ddzxCVza
1327416252368551996,16383666,QkXsV8QSm7
774240234069295104,19229035,aBs3qzC8FV
229164592201334785,13686651,QGVxpg9rVE
1307534433733181511,14972776,zjbT32QVMw
481528938703880192,17209245,zqvWTVeZdB
1374002075595313275,9918086,CAsRbqarYj
338098768648077313,12529966,meaMubpANr
1017031332607574016,18478966,5jraRVfnHt
804320825271910431,15168211,5n6TnxNamk
244923961551486977,18457948,tMdd4zdFWn
1273698575536226462,12987839,9YmAFAAZs3
309028142289256459,19192120,3WnUkeKz4r
658087452992602153,14492549,vrdx6Zumd3
707868313685852170,20312384,A6tz7Rtq5Y
200196252984410112,18623965,FkwdxYmYpr
1029383124959907941,11228464,SfK65ahyEd
1298607495631212545,18476486,q9hwjyR8j7
497511430900154369,11118254,RFgcG6kAHg
665961089460076554,3512977,5uXCBYcpK7
542911519558598657,18429603,tBhkJNwyaw
361172189552312322,17680151,TcjrnhaKjN
1260450878117380129,12014286,sRMVEMayyH
1214668372441169920,11506420,qn3p7sZqs5
572719636777271306,12596579,EKcxBZ2qub
373103980328517642,20441613,9cuTQXjsrb
225709266030297088,15232105,dUHxprVVNs
233330580085800963,8291116,28DQ9DQAEf
489859919085043743,15682407,BThnB4b8YJ
255003480564039690,18570842,uNQM3ynjDJ
437698263223762944,18587661,gr522vsRqq
250029056647495680,14092967,VbpSrEnvv2
1417625642819649617,13233250,fnSHMhMk29
374781035784830976,10287006,fXeyADzf3f
1417763266943389789,4432126,B9xbfGJc8v
673997836345671690,19650071,DxsTcBkJPJ
326729037932265473,2481034,t53Vz8UHt6
703742067712720898,15303295,YewJey2Pky
172851493358141440,10514117,B5TKefwTmk
959098781033455697,20850519,3cHS3zkKNN
1278664114893226044,17529276,Y8HXQsatQm
193779011099295745,14530605,uHw5xRXn5q
1417954722064760903,17966225,J8RRPChCbY
718882037997764648,51477083,tFKj9RRaEf
